REF_AREA,TIME_PERIOD,OBS_VALUE,indic_bt,variable
SK,2020-Q3,305.2,BKRT,eurostat_bankruptcies_index
SK,2020-Q4,375.4,BKRT,eurostat_bankruptcies_index
SK,2021-Q1,253.5,BKRT,eurostat_bankruptcies_index
SK,2021-Q2,372.9,BKRT,eurostat_bankruptcies_index
SK,2021-Q3,414.8,BKRT,eurostat_bankruptcies_index
SK,2021-Q4,379.1,BKRT,eurostat_bankruptcies_index
SK,2022-Q1,292.9,BKRT,eurostat_bankruptcies_index
SK,2022-Q2,286.8,BKRT,eurostat_bankruptcies_index
SK,2022-Q3,227.7,BKRT,eurostat_bankruptcies_index
SK,2022-Q4,242.5,BKRT,eurostat_bankruptcies_index
SK,2023-Q1,284.3,BKRT,eurostat_bankruptcies_index
SK,2023-Q2,291.7,BKRT,eurostat_bankruptcies_index
SK,2023-Q3,296.6,BKRT,eurostat_bankruptcies_index
SK,2023-Q4,342.2,BKRT,eurostat_bankruptcies_index
