REF_AREA,country_name,TIME_PERIOD,FIRM_SIZE,firm_size_label,FIRM_SECTOR,sector_label,FIRM_AGE,SAFE_ITEM,problem,severity_score_1_10,top_box_share_8_10,high_pressure_share_7_10
U2,Euro area,2016-S1,LAR,Large,A,All,4,P3,Access to finance,4.0087105,23.39978,23.39978
U2,Euro area,2016-S1,LAR,Large,C,Construction,0,P3,Access to finance,4.658049967097502,20.043232997838352,25.586787720660613
U2,Euro area,2016-S1,LAR,Large,I,Industry,0,P3,Access to finance,4.087003927752831,12.670084174818596,21.200181743522307
U2,Euro area,2016-S1,LAR,Large,S,Services,0,P3,Access to finance,4.09558759382218,20.060055387257776,23.289725141718108
U2,Euro area,2016-S1,LAR,Large,T,Trade,0,P3,Access to finance,4.1477043153136615,16.959900027088732,27.168390766341677
U2,Euro area,2016-S1,MED,Medium,A,All,0,P3,Access to finance,4.380326376539619,20.31473887764534,27.583410629092935
U2,Euro area,2016-S1,MED,Medium,A,All,1,P3,Access to finance,4.3445929145744815,20.22844400997482,26.96764589282702
U2,Euro area,2016-S1,MED,Medium,A,All,2,P3,Access to finance,4.576179384592277,20.103568688409094,32.456174259437674
U2,Euro area,2016-S1,MED,Medium,A,All,3,P3,Access to finance,5.075312628106609,24.953154445774203,38.25909039908053
U2,Euro area,2016-S1,MED,Medium,A,All,4,P3,Access to finance,4.9068796071640355,20.321392888850482,25.327968970360665
U2,Euro area,2016-S1,MED,Medium,A,All,9,P3,Access to finance,1.0,0.0,0.0
U2,Euro area,2016-S1,MED,Medium,C,Construction,0,P3,Access to finance,4.645548194499354,22.60314187378086,30.926234043090922
U2,Euro area,2016-S1,MED,Medium,I,Industry,0,P3,Access to finance,4.350957622727943,20.27214233579863,27.74556341463722
U2,Euro area,2016-S1,MED,Medium,S,Services,0,P3,Access to finance,4.377387554837505,20.364030840344242,27.622506930094172
U2,Euro area,2016-S1,MED,Medium,T,Trade,0,P3,Access to finance,4.328722739105187,19.396922579640357,25.945014824464906
U2,Euro area,2016-S1,MIC,Micro,A,All,0,P3,Access to finance,4.747478474944083,27.409163453113962,33.52765933479394
U2,Euro area,2016-S1,MIC,Micro,A,All,1,P3,Access to finance,4.693058633301691,27.020149630662,33.226369713360825
U2,Euro area,2016-S1,MIC,Micro,A,All,2,P3,Access to finance,4.984907219940815,29.383869340518526,35.36335749038154
U2,Euro area,2016-S1,MIC,Micro,A,All,3,P3,Access to finance,4.942833797024639,29.6273031008134,34.70486225544461
U2,Euro area,2016-S1,MIC,Micro,A,All,4,P3,Access to finance,4.466112449880397,20.818689686303106,27.16423395300681
U2,Euro area,2016-S1,MIC,Micro,A,All,9,P3,Access to finance,4.012196810121968,18.478850184788502,28.712050287120505
U2,Euro area,2016-S1,MIC,Micro,C,Construction,0,P3,Access to finance,4.82952709986368,26.84948376048234,31.754337541603807
U2,Euro area,2016-S1,MIC,Micro,I,Industry,0,P3,Access to finance,4.809786463049348,29.16089524191087,35.257080319787065
U2,Euro area,2016-S1,MIC,Micro,S,Services,0,P3,Access to finance,4.50019620553738,24.685933354676685,30.571486058051867
U2,Euro area,2016-S1,MIC,Micro,T,Trade,0,P3,Access to finance,5.165918141533824,32.321996789161,39.396682270810054
